# This is a tab deliminted text file of NADS data
# U232(n,fission)? [endfb7b1]
# l	E (MeV)	E' (MeV)	Legendre coefficient
0.0	0.1	0.015294141	0.092251255
0.0	0.1	0.020392187	0.10610728
0.0	0.1	0.025490234	0.11816905
0.0	0.1	0.030588281	0.12894304
0.0	0.1	0.040784375	0.14773192
0.0	0.1	0.050980469	0.16388395
0.0	0.1	0.061176562	0.17812879
0.0	0.1	0.08156875	0.20249655
0.0	0.1	0.10196094	0.22288805
0.0	0.1	0.12235312	0.24037625
0.0	0.1	0.1631375	0.26902288
0.0	0.1	0.20392187	0.2915228
0.0	0.1	0.24470625	0.30952194
0.0	0.1	0.326275	0.33575107
0.0	0.1	0.40784375	0.35263792
0.0	0.1	0.4894125	0.36289103
0.0	0.1	0.57098125	0.36821902
0.0	0.1	0.65255	0.36979309
0.0	0.1	0.76790563	0.36721401
0.0	0.1	0.88326127	0.360515
0.0	0.1	1.1139725	0.33926796
0.0	0.1	1.5753951	0.28330488
0.0	0.1	2.151164	0.2129605
0.0	0.1	2.4390484	0.18187542
0.0	0.1	2.7269329	0.15424195
0.0	0.1	3.0148173	0.13007604
0.0	0.1	3.3027018	0.10919505
0.0	0.1	3.5905862	0.091317173
0.0	0.1	3.8784707	0.076120482
0.0	0.1	4.1663551	0.063277733
0.0	0.1	4.4542396	0.05247604
0.0	0.1	4.742124	0.043427239
0.0	0.1	5.0300085	0.035872497
0.0	0.1	5.3178929	0.029583431
0.0	0.1	5.6057774	0.024361171
0.0	0.1	5.8936618	0.020034308
0.0	0.1	6.1815463	0.016456285
0.0	0.1	6.7573152	0.011068106
0.0	0.1	7.3330841	0.0074170729
0.0	0.1	7.908853	0.0049550604
0.0	0.1	8.4846219	0.0033015011
0.0	0.1	9.6361597	0.0014559725
0.0	0.1	10.787698	6.3748729E-4
0.0	0.1	20.0	7.4639718E-7


0.0	1.0	0.0	0.0
0.0	1.0	5.0388336E-6	0.0016636946
0.0	1.0	1.0077667E-5	0.0023528105
0.0	1.0	2.0155334E-5	0.0033273511
0.0	1.0	4.0310669E-5	0.0047055133
0.0	1.0	8.0621338E-5	0.0066543976
0.0	1.0	1.6124268E-4	0.009410165
0.0	1.0	3.2248535E-4	0.013306359
0.0	1.0	6.449707E-4	0.018813439
0.0	1.0	0.0012899414	0.026593233
0.0	1.0	0.0019349121	0.032554026
0.0	1.0	0.0025798828	0.037571801
0.0	1.0	0.0038698242	0.045970955
0.0	1.0	0.0051597656	0.053030874
0.0	1.0	0.0077396484	0.06482256
0.0	1.0	0.010319531	0.074704595
0.0	1.0	0.012899414	0.083359306
0.0	1.0	0.015479297	0.091137368
0.0	1.0	0.020639062	0.10482609
0.0	1.0	0.025798828	0.11674222
0.0	1.0	0.030958594	0.12738611
0.0	1.0	0.041278125	0.14594813
0.0	1.0	0.051597656	0.16190513
0.0	1.0	0.061917187	0.17597797
0.0	1.0	0.08255625	0.20005151
0.0	1.0	0.10319531	0.22019679
0.0	1.0	0.12383437	0.23747383
0.0	1.0	0.1651125	0.26577457
0.0	1.0	0.20639062	0.28800281
0.0	1.0	0.24766875	0.30578463
0.0	1.0	0.330225	0.33169705
0.0	1.0	0.41278125	0.34838
0.0	1.0	0.4953375	0.3585093
0.0	1.0	0.57789375	0.36377296
0.0	1.0	0.66045	0.36532802
0.0	1.0	0.77720217	0.36278009
0.0	1.0	0.89395434	0.35616197
0.0	1.0	1.1274587	0.33517147
0.0	1.0	1.5944673	0.27988412
0.0	1.0	2.1696402	0.21122973
0.0	1.0	2.4572267	0.1808128
0.0	1.0	2.7448131	0.1537122
0.0	1.0	3.0323996	0.12995426
0.0	1.0	3.319986	0.10937317
0.0	1.0	3.6075725	0.091705542
0.0	1.0	3.8951589	0.076647151
0.0	1.0	4.1827454	0.063886561
0.0	1.0	4.4703318	0.053124401
0.0	1.0	4.7579183	0.044083699
0.0	1.0	5.0455047	0.036514657
0.0	1.0	5.3330912	0.030196026
0.0	1.0	5.6206776	0.024934462
0.0	1.0	5.9082641	0.02056274
0.0	1.0	6.1958505	0.016937405
0.0	1.0	6.7710234	0.011455507
0.0	1.0	7.3461963	0.0077198553
0.0	1.0	7.9213692	0.0051864329
0.0	1.0	8.4965421	0.0034752055
0.0	1.0	9.6468879	0.00155001
0.0	1.0	10.797234	6.8640212E-4
0.0	1.0	20.0	8.8041876E-7


0.0	10.0	0.0	0.0
0.0	10.0	5.544281E-6	0.0015151193
0.0	10.0	1.1088562E-5	0.0021426942
0.0	10.0	2.2177124E-5	0.003030204
0.0	10.0	4.4354248E-5	0.0042852902
0.0	10.0	8.8708496E-5	0.0060601306
0.0	10.0	1.7741699E-4	0.0085697958
0.0	10.0	3.5483398E-4	0.012118042
0.0	10.0	7.0966797E-4	0.017133316
0.0	10.0	0.0014193359	0.02421834
0.0	10.0	0.0021290039	0.029646808
0.0	10.0	0.0028386719	0.034216474
0.0	10.0	0.0042580078	0.041865546
0.0	10.0	0.0056773438	0.048294983
0.0	10.0	0.0085160156	0.05903362
0.0	10.0	0.011354688	0.068033145
0.0	10.0	0.014193359	0.075914953
0.0	10.0	0.017032031	0.082998399
0.0	10.0	0.022709375	0.095464658
0.0	10.0	0.028386719	0.10631662
0.0	10.0	0.034064062	0.11600997
0.0	10.0	0.04541875	0.13291432
0.0	10.0	0.056773437	0.14744629
0.0	10.0	0.068128125	0.16026237
0.0	10.0	0.0908375	0.18218603
0.0	10.0	0.11354687	0.20053225
0.0	10.0	0.13625625	0.21626637
0.0	10.0	0.181675	0.24203973
0.0	10.0	0.22709375	0.26228289
0.0	10.0	0.2725125	0.27847671
0.0	10.0	0.36335	0.30207504
0.0	10.0	0.4541875	0.31726813
0.0	10.0	0.545025	0.32649284
0.0	10.0	0.6358625	0.33128644
0.0	10.0	0.7267	0.33270262
0.0	10.0	0.85516362	0.33038223
0.0	10.0	0.98362725	0.32435513
0.0	10.0	1.2405545	0.30523918
0.0	10.0	1.754409	0.25488923
0.0	10.0	2.3245837	0.19819066
0.0	10.0	2.6096711	0.17259004
0.0	10.0	2.8947584	0.14939679
0.0	10.0	3.1798458	0.12869165
0.0	10.0	3.4649332	0.11040965
0.0	10.0	3.7500205	0.094403628
0.0	10.0	4.0351079	0.080484397
0.0	10.0	4.3201952	0.068445998
0.0	10.0	4.6052826	0.058081359
0.0	10.0	4.8903699	0.04919169
0.0	10.0	5.1754573	0.04159178
0.0	10.0	5.4605447	0.035112632
0.0	10.0	5.745632	0.029602375
0.0	10.0	6.0307194	0.024926108
0.0	10.0	6.3158067	0.020965083
0.0	10.0	6.8859815	0.014787324
0.0	10.0	7.4561562	0.010394143
0.0	10.0	8.0263309	0.007284743
0.0	10.0	8.5965056	0.005092619
0.0	10.0	9.7368551	0.0024730824
0.0	10.0	10.877204	0.0011927156
0.0	10.0	13.157903	2.7313016E-4
0.0	10.0	15.438602	6.1599665E-5
0.0	10.0	20.0	3.0393832E-6


0.0	20.0	0.0	0.0
0.0	20.0	6.2225342E-6	0.0013496214
0.0	20.0	1.2445068E-5	0.0019086457
0.0	20.0	2.4890137E-5	0.002699212
0.0	20.0	4.9780273E-5	0.003817204
0.0	20.0	9.9560547E-5	0.0053981769
0.0	20.0	1.9912109E-4	0.007633709
0.0	20.0	3.9824219E-4	0.010794377
0.0	20.0	7.9648437E-4	0.015261828
0.0	20.0	0.0015929687	0.021572948
0.0	20.0	0.0023894531	0.026408459
0.0	20.0	0.0031859375	0.030478976
0.0	20.0	0.0047789063	0.037292534
0.0	20.0	0.006371875	0.043019677
0.0	20.0	0.0095578125	0.052585322
0.0	20.0	0.01274375	0.060601821
0.0	20.0	0.015929688	0.067622691
0.0	20.0	0.019115625	0.073932407
0.0	20.0	0.0254875	0.085036964
0.0	20.0	0.031859375	0.094703557
0.0	20.0	0.03823125	0.1033381
0.0	20.0	0.050975	0.11839596
0.0	20.0	0.06371875	0.13134059
0.0	20.0	0.0764625	0.14275676
0.0	20.0	0.10195	0.16228568
0.0	20.0	0.1274375	0.17862792
0.0	20.0	0.152925	0.19264339
0.0	20.0	0.2039	0.2156015
0.0	20.0	0.254875	0.23363349
0.0	20.0	0.30585	0.24805844
0.0	20.0	0.4078	0.2690791
0.0	20.0	0.50975	0.28261263
0.0	20.0	0.6117	0.29082972
0.0	20.0	0.71365	0.29509971
0.0	20.0	0.8156	0.2963612
0.0	20.0	0.95977907	0.29429427
0.0	20.0	1.1039581	0.28892552
0.0	20.0	1.3923163	0.27189762
0.0	20.0	1.9690326	0.22704744
0.0	20.0	2.5325003	0.18228291
0.0	20.0	3.095968	0.14267585
0.0	20.0	3.3777019	0.12538726
0.0	20.0	3.6594358	0.10980961
0.0	20.0	3.9411696	0.095881843
0.0	20.0	4.2229035	0.083506428
0.0	20.0	4.5046374	0.072566264
0.0	20.0	4.7863712	0.062935916
0.0	20.0	5.0681051	0.054488982
0.0	20.0	5.349839	0.047102804
0.0	20.0	5.6315728	0.040661349
0.0	20.0	5.9133067	0.035056831
0.0	20.0	6.1950406	0.030190482
0.0	20.0	6.4767744	0.025972747
0.0	20.0	7.0402422	0.019169612
0.0	20.0	7.6037099	0.01410306
0.0	20.0	8.1671776	0.010347075
0.0	20.0	8.7306454	0.0075733116
0.0	20.0	9.8575808	0.0040328299
0.0	20.0	10.984516	0.0021334245
0.0	20.0	13.238387	5.8820474E-4
0.0	20.0	15.492258	1.5980579E-4
0.0	20.0	20.0	1.1452452E-5

